100,1996,2442
101,2005,4339
102,2004,3794
103,2003,9171
104,2005,5768
105,1997,8810
106,1995,7804
107,1998,1299
108,2005,4277
109,2002,3865
110,1997,8603
111,1998,5808
112,2000,8157
113,2002,6676
114,2002,7449
115,2002,3993
116,1997,1666
117,2004,8897
118,1997,3047
119,2005,1233
120,2001,8997
121,2003,4325
122,1999,2383
123,1996,1960
124,2001,6884
125,1995,3745
126,1999,2512
127,1999,5034
128,2003,7129
129,2000,7915
130,2000,6040
131,1996,3477
132,2002,4667
133,1995,7251
134,1997,1729
135,1995,4095
136,2003,4311
137,1995,1494
138,2003,5119
139,2001,4027
140,2000,7612
141,1995,7896
142,2004,6862
143,2003,1160
144,1995,7060
145,1997,6476
146,1999,5273
147,2004,1464
148,2001,6476
149,2001,1541
150,1999,8619
151,2002,5999
152,2000,1944
153,1999,7343
154,1999,6985
155,1995,7863
156,1997,3739
157,1996,6652
158,1997,9942
159,1998,5815
160,1997,3457
161,2004,9436
162,2003,7372
163,1996,2200
164,2000,5319
165,1999,8411
166,2005,5883
167,2001,3436
168,2003,4096
169,2004,1235
170,2004,1153
171,1999,9658
172,1996,6194
173,2001,3286
174,1997,3654
175,2001,8914
176,2002,8784
177,2004,3586
178,1996,2021
179,2005,5554
180,1996,5190
181,1999,7553
182,2005,5184
183,2003,8498
184,1998,9632
185,2000,7997
186,2005,1475
187,2001,7718
188,2001,4893
189,1997,6226
190,1997,5369
191,1995,6391
192,2003,1764
193,1996,3735
194,1998,4346
195,1996,7849
196,2000,1728
197,1998,2172
198,2003,2516
199,2004,3760
